cand_fec,first_name,last_name,female
H8KS03155, Sharice,Davids,TRUE
H8KS03114, Tom,Niermann,FALSE
H8KS03122, Brent,Welder,FALSE
H8KS03163, Sylvia,Williams,TRUE
H0KS03137, Kevin,Yoder,FALSE
H8KS04112, Ron,Estes,FALSE
H8KS04120, James,Thompson,FALSE
H6KY01110, James,Comer,FALSE
H8KY03195, Vickie Yates,Glisson,TRUE
H6KY03124, John,Yarmuth,FALSE
H0KY06104, Andy,Barr,FALSE
H8KY06172, Jim,Gray,FALSE
H8KY06164, Amy,Mcgrath,TRUE
H0LA01087, Steve,Scalise,FALSE
H8LA03037, Josh,Guillory,FALSE
H6LA03148, Clay,Higgins,FALSE
H6LA03155, Larry,Rader,FALSE
H6LA04138, Mike,Johnson,FALSE
H4LA05221, Ralph,Abraham,FALSE
H4LA06153, Garret,Graves,FALSE
H8MA02041, Richard,Neal,FALSE
H8MA03072, Dan,Koh,FALSE
H8MA03197, Barbara,L'italien,TRUE
H8MA03122, Juana,Matias,TRUE
H8MA03106, Lori,Trahan,TRUE
H8MA08071, Mike,Capuano,FALSE
H8MA07032, Ayanna,Pressley,TRUE
H8MD01193, Jesse,Colvin,FALSE
H2MD02160, Dutch,Ruppersberger,FALSE
H8MD06150, Roger,Manno,FALSE
H8MD06143, Aruna,Miller,TRUE
H8MD06168, David,Trone,FALSE
H8ME01203, Marty,Grohman,FALSE
H8ME01120, Chellie,Pingree,TRUE
H8ME02185, Jared,Golden,FALSE
H4ME02234, Bruce,Poliquin,FALSE
H8ME02201, Lucas,St. Clair,FALSE
H8MI02113, Rob,Davidson,FALSE
H0MI02094, Bill,Huizenga,FALSE
H4MI04126, John,Moolenaar,FALSE
H8MI06163, George,Franklin,FALSE
H8MI06155, Matt,Longjohn,FALSE
H6MI04113, Fred,Upton,FALSE
H4MI07103, Tim,Walberg,FALSE
H4MI08135, Mike,Bishop,FALSE
H8MI08136, Lokesh,Kumar,FALSE
H8MI08102, Elissa,Slotkin,TRUE
H8MI09118, Andy,Levin,FALSE
H8MI09134, Ellen,Lipton,TRUE
H8MI11320, Lena,Epstein,TRUE
H8MI11338, Tim,Greimel,FALSE
H8MI11346, Suneel,Gupta,FALSE
H8MI11262, Fayrouz,Saad,TRUE
H8MI11254, Haley,Stevens,TRUE
H8MI13250, Rashida,Tlaib,TRUE
H8MI13318, Coleman,Young,FALSE
H8MN01279, Dan,Feehan,FALSE
H6MN02131, Angie,Craig,TRUE
H6MN02149, Jason,Lewis,FALSE
H8MN03077, Erik,Paulsen,FALSE
H8MN03143, Dean,Phillips,FALSE
H2MN07014, Collin,Peterson,FALSE
H8MN08068, Joe,Radinovich,FALSE
H8MN08043, Pete,Stauber,FALSE
H8MO02216, Mark,Osmack,FALSE
H8MO02208, Cort,Vanostran,FALSE
H2MO02102, Ann,Wagner,TRUE
H0MO04086, Vicky,Hartzler,TRUE
H0MO06073, Sam,Graves,FALSE
H4MO08162, Jason,Smith,FALSE
H8MS03125, Michael,Guest,FALSE
H8MS03141, Whit,Hughes,FALSE
H8MS03182, Perry,Parker,FALSE
H8MT01182, Greg,Gianforte,FALSE
H8MT00101, John,Heenan,FALSE
H8MT00077, Rob,Quist,FALSE
H8MT01232, Kathleen,Williams,TRUE
H8NC02110, Linda,Coleman,TRUE
H2NC13110, George,Holding,FALSE
H8NC02094, Ken,Romley,FALSE
H8NC03076, Scott,Dacey,FALSE
H8NC03068, Phil,Law,FALSE
H8NC05063, Denise,Adams,TRUE
H4NC05146, Virginia,Foxx,TRUE
H2NC07096, David,Rouzer,FALSE
H2NC08185, Richard,Hudson,FALSE
H8NC08083, Frank,Mcneill,FALSE
H8NC09131, Mark,Harris,FALSE
H8NC09123, Dan,Mccready,FALSE
H2NC09134, Robert,Pittenger,FALSE
H8NC11103, Phillip,Price,FALSE
H6NC13129, Ted,Budd,FALSE
H8NC13067, Kathy,Manning,TRUE
H8ND00096, Kelly,Armstrong,FALSE
H8ND00112, Mac,Schneider,FALSE
H4NE01064, Jeff,Fortenberry,FALSE
H4NE02054, Brad,Ashford,FALSE
H6NE02125, Don,Bacon,FALSE
H8NE02220, Kara,Eastman,TRUE
H8NE03087, Kirk,Penner,FALSE
H6NE03115, Adrian,Smith,FALSE
H8NH01152, Eddie,Edwards,FALSE
H8NH01210, Chris,Pappas,FALSE
H8NH01160, Andy,Sanborn,FALSE
H8NH01186, Maura,Sullivan,TRUE
H0NH02181, Ann,Kuster,TRUE
H4NJ01084, Donald,Norcross,FALSE
H4NJ01142, Scot John,Tomaszewski,FALSE
H8NJ02257, Nathan,Kleinman,FALSE
H8NJ02166, Jeff,Van Drew,FALSE
H8NJ03206, Andrew,Kim,FALSE
H4NJ03130, Tom,Macarthur,FALSE
H6NJ05171, Josh,Gottheimer,FALSE
H6NJ12136, Leonard,Lance,FALSE
H8NJ07223, Tom,Malinowski,FALSE
H8NJ11142, Mikie,Sherrill,TRUE
H8NM01372, Janice,Arnold-Jones,TRUE
H8NM01406, Pat,Davis,FALSE
H8NM01331, Deb,Haaland,TRUE
H8NM01364, Damian,Lara,FALSE
H8NM01380, Damon,Martinez,FALSE
H8NM01430, Paul,Moya,FALSE
H8NM01323, Antoinette,Sedillo-Lopez,TRUE
H8NM02156, Yvette,Herrell,TRUE
H8NM02073, Monty,Newman,FALSE
H8NM02248, Xochitl,Torres-Small,TRUE
H6NV02172, Sharron,Angle,TRUE
H8NV03200, Susie,Lee,TRUE
H2NV04045, Danny,Tarkanian,FALSE
H4NV04017, Cresent,Hardy,FALSE
H2NV04011, Steven,Horsford,FALSE
H2NY03089, Pete,King,FALSE
H4NY04075, Kathleen,Rice,TRUE
H2NY14037, Carolyn,Maloney,TRUE
H8NY19181, Antonio,Delgado,FALSE
H6NY19169, John,Faso,FALSE
H8NY19173, Brian,Flynn,FALSE
H8NY21203, Paul,Tonko,FALSE
H8NY21245, Tedra,Cobb,TRUE
H4NY21079, Elise,Stefanik,TRUE
H8NY21252, Katie,Wilson,TRUE
H8NY22151, Anthony,Brindisi,FALSE
H4NY22051, Claudia,Tenney,TRUE
H0NY29054, Tom,Reed,FALSE
H8NY24090, Dana,Balter,TRUE
H4NY24073, John,Katko,FALSE
H8NY25097, James,Maxwell,FALSE
H8NY25105, Joseph,Morelle,FALSE
H8NY27176, Nate,Mcmurray,FALSE
H8OH01043, Steve,Chabot,FALSE
H8OH01118, Aftab,Pureval,FALSE
H2OH02085, Brad,Wenstrup,FALSE
H6OH04082, Jim,Jordan,FALSE
H8OH05036, Bob,Latta,FALSE
H0OH18077, Bob,Gibbs,FALSE
H8OH10119, Theresa,Gasper,TRUE
H2OH03067, Mike,Turner,FALSE
H8OH12180, Troy,Balderson,FALSE
H8OH12263, Tim,Kane,FALSE
H8OH12248, Melanie,Leneghan,TRUE
H8OH12297, Danny,O'connor,FALSE
H8OH14111, Betsy,Rader,TRUE
H8OH15076, Steve,Stivers,FALSE
H8OH16124, Anthony,Gonzalez,FALSE
H8OK01124, Andy,Coleman,FALSE
H8OK01173, Tim,Gilpin,FALSE
H8OK01165, Tim,Harris,FALSE
H8OK01157, Kevin,Hern,FALSE
H2OK02083, Markwayne,Mullin,FALSE
H2OK04055, Tom,Cole,FALSE
H0OK05155, Tom,Guild,FALSE
H8OK05109, Kendra,Horn,TRUE
H4OK05132, Steve,Russell,FALSE
H8OR02161, Jamie,Mcleod-Skinner,TRUE
H6OR02116, Greg,Walden,FALSE
H6PA08277, Brian,Fitzpatrick,FALSE
H8PA08174, Scott,Wallace,FALSE
H8PA01260, Kevin,Johnson,FALSE
