candidate,fec_id,office
Andrew Knaggs,H0VA07125,U.S. House
Andrew Kolstee,H0NY23131,U.S. House
Andrew Straw,H0VA08164,U.S. House
Andy Barr,H0KY06104,U.S. House
Andy Biggs,H6AZ05083,U.S. House
Andy Caldwell,H0CA24157,U.S. House
Andy Harris,H8MD01094,U.S. House
Andy Kim,H8NJ03206,U.S. House
Andy Levin,H8MI09118,U.S. House
Andy Martin,S4NH00096,U.S. Senate
Andy Ruff,H0IN09179,U.S. House
Angela Stanton-King,H0GA05277,U.S. House
Angelica Duenas,H8CA29100,U.S. House
Angie Craig,H6MN02131,U.S. House
Angus McQuilken,H0MA06130,U.S. House
Anibal Acevedo-Vila,H0PR01034,U.S. House
Ann Kirkpatrick,H8AZ01104,U.S. House
Ann Kuster,H0NH02181,U.S. House
Ann L Wagner,H2MO02102,U.S. House
Anna Eshoo,H8CA12098,U.S. House
Anna Paulina Luna,H0FL13158,U.S. House
Anne Kerner,H0DE01074,U.S. House
Anthony Brindisi,H8NY22151,U.S. House
Anthony Brown,H6MD04209,U.S. House
Anthony Cristo,H8TX15069,U.S. House
Anthony Davila,H0FL09099,U.S. House
Anthony Gonzalez,H8OH16124,U.S. House
Anthony Malgieri,H0CO07091,U.S. House
Anthony Rogers,H0MO01207,U.S. House
Antoine Pierce,S0LA00311,U.S. Senate
Antonia Eliason,H0MS01118,U.S. House
Antonio Delgado,H8NY19181,U.S. House
Antwain Winters,H0MO05190,U.S. House
April Nesbit,S0OK00404,U.S. Senate
Arjun Srinivasan,S0TX00373,U.S. Senate
Arkeiska Jefferson,H0TX01116,U.S. House
Ashley Hinson,H0IA01174,U.S. House
Audrey Denney,H8CA01257,U.S. House
Audrey Richards,H0MO07279,U.S. House
August Pfluger,H0TX11230,U.S. House
Austin Scott,H0GA08099,U.S. House
Ayanna Pressley,H8MA07032,U.S. House
Barbara Bollier,S0KS00323,U.S. Senate
Barbara Lee,H8CA09060,U.S. House
Barrington Martin II,H0GA05251,U.S. House
Barry Loudermilk,H4GA11061,U.S. House
Barry Moore,H8AL02171,U.S. House
Barry Rubinson,H0NV04171,U.S. House
Becky Grossman,H0MA04168,U.S. House
Becky Hites,H0GA13131,U.S. House
Ben Cline,H8VA06104,U.S. House
Ben Gibson,H0LA04107,U.S. House
Ben Leder,H8TX05177,U.S. House
Ben McAdams,H8UT04053,U.S. House
Ben Ray Lujan,S0NM00058,U.S. Senate
Ben Sasse,S4NE00090,U.S. Senate
Ben Sigel,H0MA04218,U.S. House
Benjamin Boren,H0MI01245,U.S. House
Benjamin Estes,H0TN07248,U.S. House
Bennie G Thompson,H4MS02068,U.S. House
Bert Oram,H0FL01153,U.S. House
Beryl Billiot,S6LA00441,U.S. Senate
Beth Doglio,H0WA10075,U.S. House
Beth Van Duyne,H0TX24209,U.S. House
Betsy Dirksen Londrigan,H8IL13150,U.S. House
Betty McCollum,H0MN04049,U.S. House
Bill Bledsoe,S6SC04155,U.S. Senate
Bill Brewster,H0NC12124,U.S. House
Bill Cassidy,S4LA00107,U.S. Senate
Bill Foster,H8IL14067,U.S. House
Bill Garlington,H0FL07192,U.S. House
Bill Hagerty,S0TN00169,U.S. Senate
Bill Huizenga,H0MI02094,U.S. House
Bill Johnson,H0OH06189,U.S. House
Bill Keating,H0MA10082,U.S. House
Bill Kelsey,H4TX10184,U.S. House
Bill Marx,H0PA14138,U.S. House
Bill O'Brien,S0NH00318,U.S. Senate
Bill Olson,H0FL09081,U.S. House
Bill Pascrell Jr.,H6NJ08118,U.S. House
Bill Posey,H8FL15107,U.S. House
Bill Rood,H0MN01136,U.S. House
Billy Long,H0MO07113,U.S. House
Billy Prempeh,H0NJ09200,U.S. House
Blaine Luetkemeyer,H8MO09153,U.S. House
Blair Nicole Walsingham,H0TN01092,U.S. House
Blake Moore,H0UT01205,U.S. House
